Code,Area,Year,Measure,Value mar,Value Jun,Value Sep,Value Dec,Housing_Average
E02000356,Hackney 012,2017,Mean,773988,735737,742212,773049,756246.5
E02000357,Hackney 013,2017,Mean,372398,382798,389387,399446,386007.25
E02000358,Hackney 014,2017,Mean,605774,606775,604566,609182,606574.25
E02000359,Hackney 015,2017,Mean,683382,692470,680728,718423,693750.75
E02000360,Hackney 016,2017,Mean,495297,501761,485918,478575,490387.75
E02000361,Hackney 017,2017,Mean,518767,508410,553404,600544,545281.25
E02000362,Hackney 018,2017,Mean,483350,474430,465639,448510,467982.25
E02000363,Hackney 019,2017,Mean,379133,415078,436342,449272,419956.25
E02000364,Hackney 020,2017,Mean,690905,687023,711075,816456,726364.75
E02000365,Hackney 021,2017,Mean,609587,613373,624909,723344,642803.25
E02000366,Hackney 022,2017,Mean,729281,719744,727281,714471,722694.25
E02000367,Hackney 023,2017,Mean,584676,618090,641329,694766,634715.25
E02000368,Hackney 024,2017,Mean,539572,526164,565665,562333,548433.5
E02000369,Hackney 025,2017,Mean,480130,479135,454795,446449,465127.25
E02000370,Hackney 026,2017,Mean,713767,719641,707330,681399,705534.25
E02000371,Hackney 027,2017,Mean,604364,621629,667635,671891,641379.75
E02006918,Hackney 028,2017,Mean,402539,403198,396833,406059,402157.25
E02006921,Hackney 029,2017,Mean,486103,465387,495985,515927,490850.5
E02000372,Hammersmith and Fulham 001,2017,Mean,594264,575216,529822,562803,565526.25
E02000373,Hammersmith and Fulham 002,2017,Mean,430402,443148,415754,398820,422031
E02000374,Hammersmith and Fulham 003,2017,Mean,780220,763692,739820,776031,764940.75
E02000375,Hammersmith and Fulham 004,2017,Mean,651358,777349,814831,801713,761312.75
E02000376,Hammersmith and Fulham 005,2017,Mean,773717,805195,799298,709506,771929
E02000377,Hammersmith and Fulham 006,2017,Mean,619838,663644,709093,736643,682304.5
E02000378,Hammersmith and Fulham 007,2017,Mean,676446,646845,647671,681600,663140.5
