MSOA11CD,MSOA11NM,WD20CD,WD20NM,inlondon,ward_area_hectare,green_area_hectare,blue_area_hectare,green+blue_area_hectare,percent_green,percent_blue,percent_green+blue
E02000121,Brent 029,E05000104,Wembley Central,TRUE,160.424,55.55540116,0.109167423,55.66456858,34.63035528,0.068049308,34.69840459
E02000112,Brent 020,E05000104,Wembley Central,TRUE,160.424,55.55540116,0.109167423,55.66456858,34.63035528,0.068049308,34.69840459
E02000111,Brent 019,E05000104,Wembley Central,TRUE,160.424,55.55540116,0.109167423,55.66456858,34.63035528,0.068049308,34.69840459
E02000116,Brent 024,E05000105,Willesden Green,TRUE,154.803,69.21512984,0,69.21512984,44.71174967,0,44.71174967
E02000114,Brent 022,E05000105,Willesden Green,TRUE,154.803,69.21512984,0,69.21512984,44.71174967,0,44.71174967
E02000142,Bromley 016,E05000106,Bickley,TRUE,486.913,239.0741535,0.859010024,239.9331635,49.0999734,0.176419612,49.27639301
E02000148,Bromley 022,E05000106,Bickley,TRUE,486.913,239.0741535,0.859010024,239.9331635,49.0999734,0.176419612,49.27639301
E02006789,Bromley 042,E05000107,Biggin Hill,TRUE,828.039,575.1156165,0.270955128,575.3865716,69.45513635,0.032722508,69.48785886
E02000165,Bromley 039,E05000107,Biggin Hill,TRUE,828.039,575.1156165,0.270955128,575.3865716,69.45513635,0.032722508,69.48785886
E02000152,Bromley 026,E05000108,Bromley Common and Keston,TRUE,830.82,561.5254224,7.552761578,569.078184,67.58689275,0.909073154,68.49596591
E02000159,Bromley 033,E05000108,Bromley Common and Keston,TRUE,830.82,561.5254224,7.552761578,569.078184,67.58689275,0.909073154,68.49596591
E02000146,Bromley 020,E05000108,Bromley Common and Keston,TRUE,830.82,561.5254224,7.552761578,569.078184,67.58689275,0.909073154,68.49596591
E02000163,Bromley 037,E05000110,Chelsfield and Pratts Bottom,TRUE,1256.32,1000.748012,2.353913439,1003.101926,79.65709472,0.187365754,79.84446048
E02000161,Bromley 035,E05000110,Chelsfield and Pratts Bottom,TRUE,1256.32,1000.748012,2.353913439,1003.101926,79.65709472,0.187365754,79.84446048
E02000128,Bromley 002,E05000111,Chislehurst,TRUE,1044.12,769.265661,5.078297882,774.3439589,73.67598178,0.486371095,74.16235288
E02000133,Bromley 007,E05000111,Chislehurst,TRUE,1044.12,769.265661,5.078297882,774.3439589,73.67598178,0.486371095,74.16235288
E02006787,Bromley 041,E05000112,Clock House,TRUE,226.647,91.89683144,0.829672733,92.72650418,40.54623774,0.366063849,40.91230159
E02000139,Bromley 013,E05000112,Clock House,TRUE,226.647,91.89683144,0.829672733,92.72650418,40.54623774,0.366063849,40.91230159
E02000141,Bromley 015,E05000112,Clock House,TRUE,226.647,91.89683144,0.829672733,92.72650418,40.54623774,0.366063849,40.91230159
E02000137,Bromley 011,E05000113,Copers Cope,TRUE,328.692,161.124874,0.611437368,161.7363114,49.02001692,0.186021372,49.20603829
E02000132,Bromley 006,E05000113,Copers Cope,TRUE,328.692,161.124874,0.611437368,161.7363114,49.02001692,0.186021372,49.20603829
E02000180,Camden 015,E05000131,Cantelowes,TRUE,75.933,26.33056509,0.004403738,26.33496883,34.67605005,0.005799505,34.68184956
E02006799,Barking and Dagenham 023,E05000040,Valence,TRUE,129.284,49.83951219,0.448761395,50.28827359,38.5504101,0.347112864,38.89752296
E02000170,Camden 005,E05000132,Fortune Green,TRUE,100.652,45.4107397,0.00939825,45.42013795,45.1165796,0.00933737,45.12591697
E02000005,Barking and Dagenham 004,E05000040,Valence,TRUE,129.284,49.83951219,0.448761395,50.28827359,38.5504101,0.347112864,38.89752296
E02000169,Camden 004,E05000133,Frognal and Fitzjohns,TRUE,153.023,80.93248279,0.094551244,81.02703404,52.88909693,0.06178891,52.95088584
E02000015,Barking and Dagenham 014,E05000041,Village,TRUE,214.748,116.5620473,8.454220557,125.0162678,54.27852519,3.936809915,58.2153351
E02000173,Camden 008,E05000133,Frognal and Fitzjohns,TRUE,153.023,80.93248279,0.094551244,81.02703404,52.88909693,0.06178891,52.95088584
E02000032,Barnet 009,E05000043,Brunswick Park,TRUE,317.526,148.4728476,1.415551429,149.888399,46.7592725,0.445806463,47.20507896
E02000171,Camden 006,E05000134,Gospel Oak,TRUE,69.232,24.82121817,0,24.82121817,35.85223332,0,35.85223332
E02000033,Barnet 010,E05000043,Brunswick Park,TRUE,317.526,148.4728476,1.415551429,149.888399,46.7592725,0.445806463,47.20507896
E02000167,Camden 002,E05000135,Hampstead Town,TRUE,244.939,172.3342298,5.129481205,177.463711,70.35801968,2.094187208,72.45220689
E02000177,Camden 012,E05000136,Haverstock,TRUE,73.177,25.50737885,0.005374565,25.51275342,34.85709834,0.00734461,34.86444295
E02000172,Camden 007,E05000136,Haverstock,TRUE,73.177,25.50737885,0.005374565,25.51275342,34.85709834,0.00734461,34.86444295
E02000166,Camden 001,E05000137,Highgate,TRUE,323.926,241.6363105,9.514875236,251.1511858,74.59614558,2.937360766,77.53350635
E02000193,Camden 028,E05000138,Holborn and Covent Garden,TRUE,119.493,17.05604603,0.0401452,17.09619123,14.27367798,0.033596278,14.30727426
E02000192,Camden 027,E05000138,Holborn and Covent Garden,TRUE,119.493,17.05604603,0.0401452,17.09619123,14.27367798,0.033596278,14.30727426
E02000168,Camden 003,E05000139,Kentish Town,TRUE,102.895,24.97919558,0,24.97919558,24.27639397,0,24.27639397
E02000174,Camden 009,E05000139,Kentish Town,TRUE,102.895,24.97919558,0,24.97919558,24.27639397,0,24.27639397
E02000185,Camden 020,E05000140,Kilburn,TRUE,68.518,21.77360587,0,21.77360587,31.77793553,0,31.77793553
E02000189,Camden 024,E05000141,King's Cross,TRUE,61.138,16.09897475,0.011431996,16.11040675,26.3321907,0.018698675,26.35088938
E02000190,Camden 025,E05000141,King's Cross,TRUE,61.138,16.09897475,0.011431996,16.11040675,26.3321907,0.018698675,26.35088938
E02000186,Camden 021,E05000142,Regent's Park,TRUE,134.956,51.66300356,0.235631792,51.89863535,38.28136842,0.174598975,38.45596739
E02000188,Camden 023,E05000142,Regent's Park,TRUE,134.956,51.66300356,0.235631792,51.89863535,38.28136842,0.174598975,38.45596739
E02000187,Camden 022,E05000143,St Pancras and Somers Town,TRUE,139.889,26.29723005,2.786526623,29.08375667,18.79864039,1.991955495,20.79059588
E02000182,Camden 017,E05000144,Swiss Cottage,TRUE,125.671,61.29825412,0.03015689,61.32841101,48.7767696,0.023996698,48.8007663
E02000181,Camden 016,E05000144,Swiss Cottage,TRUE,125.671,61.29825412,0.03015689,61.32841101,48.7767696,0.023996698,48.8007663
E02000175,Camden 010,E05000145,West Hampstead,TRUE,88.729,24.11386575,0,24.11386575,27.17698357,0,27.17698357
