MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y
E02000189,Camden 024,E09000007,Camden,E12000007,London,5944,5407,537,199.7,2253,2.4,530621.878,182671.118
E02000190,Camden 025,E09000007,Camden,E12000007,London,7530,5914,1616,203.2,3181,1.9,530235.017,182475.977
E02000191,Camden 026,E09000007,Camden,E12000007,London,7497,5545,1952,116.8,2868,1.9,529550.425,182038.358
E02000192,Camden 027,E09000007,Camden,E12000007,London,7157,7021,136,165.5,3375,2.1,531012.488,181974.945
E02000193,Camden 028,E09000007,Camden,E12000007,London,7630,7010,620,70.1,3850,1.8,530367.150,181625.483
E02000194,Croydon 001,E09000008,Croydon,E12000007,London,8696,8536,160,62.5,4099,2.1,533140.770,170249.530
E02000195,Croydon 002,E09000008,Croydon,E12000007,London,9152,9112,40,47.3,3446,2.6,531870.307,170263.279
E02000196,Croydon 003,E09000008,Croydon,E12000007,London,7403,7366,37,60.4,2553,2.9,531169.208,169564.069
E02000197,Croydon 004,E09000008,Croydon,E12000007,London,9094,9072,22,91.6,3403,2.7,530505.265,169151.921
E02000198,Croydon 005,E09000008,Croydon,E12000007,London,8070,8021,49,90.5,3338,2.4,532346.044,169161.736
E02000199,Croydon 006,E09000008,Croydon,E12000007,London,8430,8423,7,97.7,3172,2.7,532878.689,168850.696
E02000200,Croydon 007,E09000008,Croydon,E12000007,London,8294,8192,102,66.5,3811,2.1,533689.553,168871.797
E02000201,Croydon 008,E09000008,Croydon,E12000007,London,8281,8281,0,96.4,3814,2.2,534378.836,168516.556
E02000202,Croydon 009,E09000008,Croydon,E12000007,London,8548,8503,45,116.3,2981,2.9,531523.245,168372.534
E02000203,Croydon 010,E09000008,Croydon,E12000007,London,7539,7494,45,97.5,3062,2.4,532432.091,168141.109
E02000204,Croydon 011,E09000008,Croydon,E12000007,London,9407,9310,97,86.6,3146,3,530963.451,167850.981
E02000206,Croydon 013,E09000008,Croydon,E12000007,London,9539,9399,140,65.3,4009,2.3,533048.687,167487.562
E02000207,Croydon 014,E09000008,Croydon,E12000007,London,8999,8977,22,72.5,3592,2.5,534618.680,167263.453
E02000208,Croydon 015,E09000008,Croydon,E12000007,London,9790,9645,145,111.8,3821,2.5,531847.449,167193.066
E02000209,Croydon 016,E09000008,Croydon,E12000007,London,8414,8411,3,83.9,2919,2.9,530574.118,167010.518
E02000210,Croydon 017,E09000008,Croydon,E12000007,London,8310,8300,10,107.2,3371,2.5,533838.242,166841.872
E02000211,Croydon 018,E09000008,Croydon,E12000007,London,8000,8000,0,47.7,3279,2.4,536016.128,166715.412
E02000212,Croydon 019,E09000008,Croydon,E12000007,London,8523,8522,1,68.7,2977,2.9,531119.214,166259.088
E02000213,Croydon 020,E09000008,Croydon,E12000007,London,9551,9495,56,92.6,4160,2.3,532341.180,166429.025
E02000214,Croydon 021,E09000008,Croydon,E12000007,London,6236,6219,17,60.5,2321,2.7,534700.005,166276.379
E02000215,Croydon 022,E09000008,Croydon,E12000007,London,10518,10414,104,106.6,4991,2.1,533465.933,166151.934
E02000216,Croydon 023,E09000008,Croydon,E12000007,London,6738,6622,116,30.8,3028,2.2,533911.160,165134.598
